name,extension
ABAP,abp
ActionScript,as
C,c
C++,cpp
COBOL,cobol
CoffeeScript,coffee
C#,cs
CSS,css
Clojure,clj
D,d
Dart,dart
Erlang,erl
Forth,forth
Go,go
Groovy,groovy
Haskell,hs|lhs
Haxe,hx
HTML,html|htm
XHTML,xhtml
Java,java
JavaScript,js
jsx,jsx
Lisp,lisp
LSL,lsl
Lua,lua
MATLAB,mat
SQL,sql
Objective-C,m
OCaml,ml
Pascal,pas
Perl,pl
PHP,php
Prolog,pro|swi
Python,py
R,r
Ruby,rb
Rust,rs
Scala,scala
Scheme,scm
ShellScript,sh
TypeScript,ts
VBScript,vbs
Verilog,v
assembly_x86,asm
XML,xml
XQuery,xquery
